# kid noise_min noise_max noise_mean shell_count
  0 0.075533 4.396250 0.990984 3
  1 0.221777 3.155090 1.015446 6
  2 0.095272 3.010870 0.987512 4
  3 0.075467 4.122000 1.034314 3
  4 0.355853 2.375610 0.992158 12
  5 0.245888 2.087520 0.995095 12
  6 0.141801 2.893070 0.984531 6
  7 0.290479 2.076880 0.992831 15
  8 0.364132 2.001510 1.009777 12
  9 0.298913 2.256590 1.001731 12
 10 0.072165 3.648880 0.978038 4
 11 0.287625 2.302760 0.989670 12
 12 0.420322 1.654670 0.990630 24
 13 0.031897 4.555880 1.024847 3
 14 0.452634 1.838380 0.995909 24
 15 0.410214 1.766850 0.993954 18
 16 0.299722 2.096290 0.997809 12
 17 0.588226 1.594340 1.004657 36
 18 0.361351 2.251680 0.987321 12
 19 0.467645 1.809370 0.997983 27
 20 0.528819 1.561340 0.998178 36
 21 0.373194 2.064340 1.000087 16
 22 0.577048 1.656640 1.004202 36
 23 0.504490 1.728030 1.009805 24
 24 0.475200 1.694990 1.004518 30
 25 0.556747 1.491330 0.997436 48
 26 0.487309 1.891690 0.996623 27
 27 0.505645 1.711800 0.995742 36
 28 0.660696 1.441470 1.007309 84
 29 0.485149 1.714730 1.004002 24
 30 0.634494 1.510760 0.999733 60
 31 0.678477 1.417320 1.004231 73
 32 0.638613 1.413660 1.002201 72
 33 0.665782 1.544170 1.007315 72
 34 0.687620 1.350280 0.999001 72
 35 0.649346 1.451180 0.996453 84
 36 0.695117 1.451820 1.003396 99
 37 0.669264 1.280610 0.997309 108
 38 0.759777 1.339790 0.995626 102
 39 0.750376 1.327030 1.001952 112
 40 0.791873 1.261840 0.997642 147
 41 0.784725 1.290810 0.999922 168
 42 0.742708 1.277230 1.002314 156
 43 0.721698 1.293180 1.005558 126
 44 0.764486 1.253600 0.998307 207
 45 0.780562 1.217360 1.003684 196
 46 0.801666 1.240980 0.999659 252
 47 0.777802 1.278160 1.001042 219
 48 0.840499 1.252580 1.002862 282
 49 0.826001 1.220980 0.996882 312
 50 0.827894 1.164030 0.998466 307
 51 0.825186 1.181860 1.001029 348
 52 0.820075 1.195070 1.000840 330
 53 0.825728 1.151550 0.999942 399
 54 0.867240 1.159040 1.002911 492
 55 0.863550 1.190780 0.997883 463
 56 0.879169 1.121120 0.999223 606
 57 0.870090 1.175100 0.997028 492
 58 0.878727 1.120700 1.002061 735
 59 0.895345 1.135100 0.999116 706
 60 0.886188 1.150080 0.998082 723
 61 0.877733 1.131960 0.999480 780
 62 0.891454 1.102110 0.998797 897
 63 0.906278 1.113570 1.001562 976
 64 0.890196 1.115250 0.998874 1047
 65 0.907059 1.080960 0.999444 1170
 66 0.879643 1.108770 1.001307 1267
 67 0.916256 1.092770 1.000525 1410
 68 0.921878 1.091490 1.000476 1443
 69 0.931617 1.092110 1.000939 1675
 70 0.928966 1.089340 1.001063 1770
 71 0.937279 1.079470 0.999966 1971
 72 0.938733 1.071130 1.000034 2065
 73 0.935202 1.064160 1.000280 2292
 74 0.935488 1.060110 1.000578 2617
 75 0.942780 1.067040 1.000068 2751
 76 0.942973 1.057750 0.999584 2958
 77 0.950772 1.054420 0.998710 3247
 78 0.939909 1.047400 0.999887 3585
 79 0.941251 1.047830 1.000407 3883
 80 0.955166 1.047570 0.999982 4029
 81 0.951004 1.044690 1.000047 4798
 82 0.954023 1.043990 1.000137 4971
 83 0.958971 1.039420 0.999996 5413
 84 0.961950 1.044770 0.999602 6045
 85 0.963445 1.044290 0.999893 6583
 86 0.955623 1.042860 0.999598 7017
 87 0.965463 1.044160 0.999549 7705
 88 0.966833 1.035410 1.000149 8599
 89 0.959748 1.030350 1.000259 9021
 90 0.959912 1.031470 0.999986 10225
 91 0.962263 1.029770 1.000108 10581
 92 0.972076 1.027620 0.999934 12079
 93 0.972168 1.034000 1.000153 13012
 94 0.969916 1.033540 0.999865 14269
 95 0.970065 1.028520 0.999864 15417
 96 0.976188 1.025300 0.999839 16561
 97 0.976971 1.023400 1.000053 18496
 98 0.977849 1.021630 0.999853 20161
 99 0.978755 1.020880 0.999758 21660
100 0.979363 1.022790 1.000077 23725
101 0.980199 1.018520 1.000472 25816
102 0.982168 1.021640 0.999899 28537
